listing_id,date,num_reviews,reviewers
1254468,2025-05-01,2,"42383746,178604876"
3229123,2025-05-01,1,136941323
3162666,2025-07-01,3,"3199006,67095292,16116982"
1173944,2025-05-01,1,59259427
1254468,2024-11-01,1,54420757
1254468,2025-06-01,2,"37355827,16518291"
1254468,2024-10-01,3,"202745946,442671765,117703840"
5489928,2025-08-01,4,"453163816,706314517,669743012,706935273"
5386570,2024-09-01,1,404514567
5489928,2024-09-01,1,93750309
3229123,2025-07-01,1,522899671
3229123,2024-11-01,1,15906852
1254468,2025-07-01,1,25604772
154743,2025-03-01,1,515848440
3162666,2024-09-01,2,"100443625,115058241"
5489928,2025-07-01,2,"535528932,9743389"
5489928,2025-06-01,1,126971284
3229123,2025-06-01,1,693524486
3162666,2025-08-01,1,136976058
1254468,2024-09-01,1,106576194
2969361,2024-11-01,4,"651266141,121722509,441581307,120774964"
2969361,2025-05-01,2,"15381831,19748199"
5021916,2025-06-01,2,"11415979,79246206"
4187372,2025-01-01,1,537572122
5562649,2025-06-01,3,"4268025,56098546,90479420"
790887,2025-04-01,5,"476542670,591921847,354352057,567698561,683558264"
4187372,2024-10-01,2,"510987649,652854007"
790887,2025-05-01,9,"689484264,654393848,594201471,216094680,501898390,7019605,231273655,511903384,52224993"
5562649,2024-11-01,1,5244496
790887,2024-12-01,6,"405314686,115711880,45805296,430312653,49277507,65217705"
5138428,2024-10-01,1,13186026
5138428,2024-09-01,2,"290688982,237497724"
2969361,2025-04-01,4,"662895992,186073073,456035515,96959893"
4187372,2024-12-01,1,449034741
3581243,2025-06-01,1,566108082
790887,2025-07-01,6,"231273655,47008479,66236786,567698561,43517079,24719726"
2969361,2025-06-01,4,"15769955,72349512,690473078,138595669"
5562649,2025-05-01,2,"331207992,55076913"
64641,2024-12-01,1,520254190
5021916,2024-12-01,3,"42331881,166625172,571777370"
4187372,2025-03-01,3,"359353281,36954064,7302431"
2969361,2024-10-01,5,"144219309,457652054,206001832,99193594,21982787"
5562649,2024-09-01,4,"245209839,924247,11377510,267513766"
790887,2025-08-01,4,"114980013,577564818,712618029,231273655"
5021916,2024-09-01,4,"30939866,576328706,128274350,3393850"
5021916,2025-07-01,2,"27674554,130793003"
790887,2025-06-01,5,"434252517,35515273,582081459,696227737,32811636"
64641,2025-05-01,1,66135762
5562649,2025-07-01,6,"228141579,114674143,177733846,700211954,556536130,48443003"
790887,2024-10-01,9,"315270650,163031207,572531113,62760467,35634850,224170326,560176895,590082013,372947340"
5562649,2025-08-01,1,466490671
790887,2025-02-01,3,"475092827,197163912,519457275"
2969361,2025-07-01,5,"123924129,12162063,369445596,255542727,60107720"
5562649,2024-10-01,5,"425539850,531331080,556582152,353817159,310553242"
5138428,2024-11-01,1,83037292
790887,2024-09-01,7,"113346049,304076671,597296354,110003547,272890080,470026958,559151503"
5138428,2024-12-01,1,461107491
5562649,2024-12-01,1,286637976
790887,2025-01-01,3,"179770088,153627371,169648203"
2969361,2024-09-01,4,"169038419,493994407,7595590,68520394"
790887,2024-11-01,5,"304191475,297814193,101401068,120118793,403869166"
5021916,2024-11-01,7,"44629387,446799112,87770310,397315584,521403836,119852155,32986395"
790887,2025-03-01,7,"247902762,23716396,511706621,448108231,343128066,384616862,676984516"
2969361,2024-12-01,1,371065890
2969361,2025-08-01,1,28747089
4187372,2024-09-01,1,39291015
2969361,2025-03-01,1,228611867
5562649,2025-01-01,1,3039489
2969361,2025-02-01,2,"180592989,257992177"
5021916,2024-10-01,5,"450306392,176858860,19791234,3255199,590010298"
5879297,2025-01-01,1,281656658
3773198,2025-06-01,3,"32373333,582752557,345558623"
1552251,2024-10-01,1,520758246
1033151,2024-12-01,1,657514099
3773198,2025-03-01,5,"15493443,671656742,520772619,1802572,406600353"
