feature,importance
neighbourhood_cleansed_Cypress Hills,0.0003178503950136142
amenity_118,0.00031369053640163057
neighbourhood_cleansed_Park Slope,0.00031116971952236457
neighbourhood_cleansed_East Elmhurst,0.0003074595644591209
amenity_20,0.000293342643976831
neighbourhood_cleansed_Murray Hill,0.000290280933240763
amenity_216,0.00028932678401987464
neighbourhood_cleansed_Clinton Hill,0.00028234789708640984
amenity_26,0.0002820806263570151
amenity_149,0.00028192751546864033
amenity_223,0.0002797744203319801
amenity_10,0.000257581560457232
neighbourhood_cleansed_Far Rockaway,0.00025629956580157826
neighbourhood_cleansed_Theater District,0.0002535355552295695
amenity_150,0.00025349018165389444
property_type_Shared room in rental unit,0.00025318191030493815
amenity_7,0.00025200412877394323
amenity_238,0.00025067602687109744
neighbourhood_cleansed_Elmhurst,0.0002480368398893222
amenity_107,0.00024083266266352037
neighbourhood_cleansed_Canarsie,0.00023918445534812239
neighbourhood_cleansed_Bay Ridge,0.00023851506940526494
neighbourhood_cleansed_Kips Bay,0.00023818267233411246
amenity_190,0.000237442043140545
amenity_12,0.00023713349708214687
amenity_102,0.00023557289262529117
amenity_155,0.00023307725411855833
amenity_179,0.00023055978081790583
neighbourhood_cleansed_Jamaica,0.00022709969179360016
property_type_Entire guest suite,0.0002245230646377315
neighbourhood_cleansed_Ditmars Steinway,0.00022176094847444446
neighbourhood_cleansed_Flushing,0.00022174524416072912
amenity_242,0.00021754972149487867
neighbourhood_cleansed_Hunts Point,0.0002172354459897937
neighbourhood_cleansed_Chinatown,0.00021623708421319453
amenity_34,0.00021587423175534106
amenity_56,0.00021582102640629023
neighbourhood_cleansed_Ridgewood,0.0002120607458665233
neighbourhood_cleansed_Prospect-Lefferts Gardens,0.00021054832433301397
amenity_43,0.00020917542944857162
amenity_230,0.0002067053421605501
amenity_22,0.00020405382857591406
amenity_73,0.00019108215067831572
amenity_112,0.0001888392654470788
neighbourhood_cleansed_Sunnyside,0.00018816375685840663
amenity_52,0.00018809353758540134
neighbourhood_cleansed_Jamaica Hills,0.00018426718431355878
amenity_81,0.00018044055016266513
neighbourhood_cleansed_Inwood,0.00017923184657763557
amenity_2,0.00017647650068745857
amenity_6,0.00017197722476427243
neighbourhood_cleansed_Boerum Hill,0.00016688109950621023
amenity_208,0.00016433750072398896
amenity_141,0.00016224866371296613
neighbourhood_cleansed_South Slope,0.00015496295268567966
amenity_183,0.00015262700430825188
neighbourhood_cleansed_Fort Greene,0.0001517849186486813
property_type_Shared room in loft,0.0001517473920191315
amenity_140,0.00014984939700894394
property_type_Private room,0.00014984654404048736
amenity_220,0.00014975920944009492
amenity_106,0.00014531513703766377
amenity_121,0.00013993041052538885
neighbourhood_cleansed_Jackson Heights,0.00013906801447323197
property_type_Private room in guest suite,0.00013684567028239634
neighbourhood_cleansed_Morningside Heights,0.00013683613612652885
neighbourhood_cleansed_Downtown Brooklyn,0.00013682660025422623
neighbourhood_cleansed_Borough Park,0.00013511181612120335
amenity_233,0.00013167670104550523
amenity_28,0.00012961291319953732
neighbourhood_cleansed_Tribeca,0.00012841289684150831
property_type_Room in aparthotel,0.00012757549356482648
amenity_65,0.00012712385270761712
neighbourhood_cleansed_Mott Haven,0.00012522750267018507
neighbourhood_cleansed_Ozone Park,0.00012247878075765165
neighbourhood_cleansed_Springfield Gardens,0.00012198096643994311
neighbourhood_cleansed_Glendale,0.00012190074808658698
amenity_110,0.00012146629916787456
amenity_130,0.00011993909293909578
neighbourhood_cleansed_Flatlands,0.00011988118894375758
neighbourhood_cleansed_Forest Hills,0.00011594978492520405
property_type_Private room in loft,0.00011378955472229493
neighbourhood_cleansed_Brighton Beach,0.00011194137014514417
amenity_105,0.00011092470076808527
neighbourhood_cleansed_St. Albans,0.0001097613924720296
property_type_Private room in serviced apartment,0.00010767589616644058
amenity_108,0.00010615250608225119
amenity_126,0.0001054037643834658
amenity_169,0.0001046264224962512
amenity_33,0.0001027946688165388
neighbourhood_cleansed_Morris Park,0.00010107096487099448
property_type_Private room in bed and breakfast,0.0001004248529931248
neighbourhood_cleansed_Tompkinsville,9.985201319776331e-05
amenity_168,9.981232531250092e-05
neighbourhood_cleansed_Pelham Gardens,9.977817011891224e-05
