City,Region,Country,Date,listings_url,geojson_url
London,England,United Kingdom,2025-03-04,https://data.insideairbnb.com/united-kingdom/england/london/2025-03-04/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/london/2025-03-04/visualisations/neighbourhoods.geojson
London,England,United Kingdom,2024-12-11,https://data.insideairbnb.com/united-kingdom/england/london/2024-12-11/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/england/london/2024-12-11/visualisations/neighbourhoods.geojson
Los Angeles,California,United States,2025-09-01,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-09-01/data/listings.csv.gz,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-09-01/visualisations/neighbourhoods.geojson
Los Angeles,California,United States,2025-06-17,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-06-17/data/listings.csv.gz,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-06-17/visualisations/neighbourhoods.geojson
Los Angeles,California,United States,2025-03-01,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-03-01/data/listings.csv.gz,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-03-01/visualisations/neighbourhoods.geojson
Los Angeles,California,United States,2024-12-06,https://data.insideairbnb.com/united-states/ca/los-angeles/2024-12-06/data/listings.csv.gz,https://data.insideairbnb.com/united-states/ca/los-angeles/2024-12-06/visualisations/neighbourhoods.geojson
Lyon,Auvergne-Rhone-Alpes,France,2025-06-15,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2025-06-15/data/listings.csv.gz,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2025-06-15/visualisations/neighbourhoods.geojson
Lyon,Auvergne-Rhone-Alpes,France,2025-03-07,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2025-03-07/data/listings.csv.gz,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2025-03-07/visualisations/neighbourhoods.geojson
Lyon,Auvergne-Rhone-Alpes,France,2024-12-14,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2024-12-14/data/listings.csv.gz,https://data.insideairbnb.com/france/auvergne-rhone-alpes/lyon/2024-12-14/visualisations/neighbourhoods.geojson
Madrid,Comunidad de Madrid,Spain,2025-06-12,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2025-06-12/data/listings.csv.gz,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2025-06-12/visualisations/neighbourhoods.geojson
Madrid,Comunidad de Madrid,Spain,2025-03-05,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2025-03-05/data/listings.csv.gz,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2025-03-05/visualisations/neighbourhoods.geojson
Madrid,Comunidad de Madrid,Spain,2024-12-12,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2024-12-12/data/listings.csv.gz,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2024-12-12/visualisations/neighbourhoods.geojson
Malaga,Andalucía,Spain,2025-06-29,https://data.insideairbnb.com/spain/andalucía/malaga/2025-06-29/data/listings.csv.gz,https://data.insideairbnb.com/spain/andalucía/malaga/2025-06-29/visualisations/neighbourhoods.geojson
